title,skillset,category
DevOps Engineer,"ROLE: DevOps Engineer LOCATION: Melbourne Job Description: Technical Requirements Overall 6+ years of IT experience and 5+ years of experience in GCP/Azure cloud environments (Mandatory) 5+ years of relevant experience working as a systems automation engineer (Mandatory) Experience working with Azure/GCP Kubernetes Services (Mandatory) Experience utilizing automation tools like Terraform and Ansible Experience with management/supporting deployment such as external dns, cert manager, cloudability, splunk, crowdstrike, OPA/Anthos Config etc Experience with CI/CD tool AZDO or similar Experience in dealing with management of product/app owners",3
Senior Security Operations Consultant,"Your knowledge and experience will be instrumental in shaping secure collaborations and partnerships Your Future at Kyndryl As a Security Consultant at Kyndryl you will join the Kyndryl Consultant Profession, working with other Kyndryl Consultants, Architects, Project Managers, and cross-functional Technical Subject Matter Experts – presenting unlimited opportunities with unmatched support through our investment in your learning, training, and career growth Who You Are You’re good at what you do and possess the required experience to prove it Experience in designing and implementing SOC processes, including incident detection, response, and recovery Experience in leading and mentoring SOC teams, ensuring continuous improvement in detection and response capabilities Required Experience: 8-10 years of experience in security operations, with a focus on SOC management and incident response Proven experience working in Australian market with specific knowledge of ACSC guidelines and Australian regulatory requirements Experience working in highly regulated industries (e",0
Systems Engineer,"Our team solves challenging technical problems that enables our customer to realize critical and time sensitive C2 strategies Contribute, provide technical recommendations, and attend briefings or information sharing forums, with INDOPACOM and the leadership, in support of ZTA initiatives and new capabilities Lead complex technical projects including upgrades, system integrations, and other installations in support of existing Enterprise capabilities Bachelors degree in IT, Information Systems, Cyber Security, Computer Engineering or similar and 5+ years of experience, or 9+ years of experience in enterprise IT systems engineering and operations involving complex classified DoD environments and mandatory security controls (e Extensive experience with Microsoft or Linux enterprise services portfolio (Exchange, Active Directory, DNS/BIND, DHCP, SQL, etc) Prior experience in implementing and supporting DoD secure systems environments Experience with Hyperconverged Infrastructure (Nutanix preferred) Experience with NSA CSfC requirements including Multi-Site Connectivity Capability Package (MSCCP) and Mobile Access Capability Package (MACP) Experience with Cross Domain Solutions (CDS) and/or US BICES Trusted Network Environment (TNE) Customer-service oriented with a willingness to participate and assist Experience with Forcepoint/Everfox Trusted Thin Client Experience in ITIL framework and best practices (e Experience using Help Desk software (e",3
Information Technology (IT) Manager,"Skills required for this job are typically acquired through the completion of an undergraduate degree and 9+ years of experience Job Posting Description Who We Are KBR Government Solutions delivers full life cycle professional and technical solutions that improve operational readiness and drive innovation Our legacy of delivering advanced full life cycle professional and technical solutions is matched only by our commitment to operational readiness and innovation Your eye for compliance and your strategic mindset ensures that each contractual requirement is not just met but exceeded What You’ll Do As the Information Technology Manager , you will: Support the day-to-day operations and maintenance functions for the facility-related infrastructure networks and recommend efficient Tier 1 solutions by performing preventive maintenance, troubleshooting and diagnostic failures and restoring failed operational capabilities within a specified amount of time, ensuring sustainment of mission operations Responsible for the procurement, installation, maintenance, and repair and documentation for telecommunications cabling infrastructure and network conveyance Oversee the telecommunications infrastructure including the project management of ISP and OSP projects, design engineering, integration, testing, installation, operations and maintenance of communication distribution system, recapitalization, and upgrade capabilities Oversee and provide all necessary experienced labor and supervision to manage, maintain, operate, design, engineer, test, inspect, and repair both the inside and outside plant telecommunication infrastructure Operate an IT Help Desk that operates daily, Monday through Friday Provide Information system and business applications support to include hardware, software, and infrastructure support to include maintenance, repair, and replacement of component parts and network connections Perform unclassified network systems administration and maintenance that require access to the site cable architecture Supply all materials and labor for IT infrastructure modifications and new installations, to include conduits, wire-mold, cabling and fiber Operate, inspect, test, maintain, update, and repair the Facility Control System, Power Control Monitoring System and, Building Monitoring System as well as the Supervisory Control and Data Acquisition (SCADA) system Support transition activities on all IT systems as required Experience working in 24x7 mission critical environments such as data centers, where continuous availability of facility infrastructure is essential and of the highest priority Shall update/maintain existing CAD files for all facilities, space planning, and telecommunication drawing and capacities Develop and maintain an IT plan as part of the Program Management Plan (PMP) that is focused on business and enterprise systems and information management Support the facilities, logistics, security, and telecommunications infrastructures by providing the IT and Communication systems design, implementation, cyber security, testing, Operations and Maintenance (O&M), software upgrades and recapitalization of hardware Implement enterprise solutions for Enterprise Resource Planning Tool (ERPT) support as needed Responsible for the preparation of documents and coordination for the Authorization and Assessment (A&A) process, currently Intelligence Community Directive 503 (ICD 503) Familiar with navigating NRO Risk Management Framework (RMF), as part of the A&A responsibilities Develop a Configuration Management (CM) Plan Develop a System Development Plan Experience with NRO Corporate IT Procurement (CIP) process and system Ensure qualified personnel are ready and able to perform O&M on the various facilities and communication systems Ensure skilled and experienced systems engineers, and database administrators for each system are available and able Responsible for collecting and overseeing customer requirements, design and engineering, cyber security, test and integration, and implementation of the system Integrate and coordinate with other government and industry partners to implement new enterprise solutions and performed related O&M Qualifications: Must be a US Citizen and possess an active TS/SCI U Security Clearance with an adjudicated CI polygraph A bachelor's degree in information technology, computer science, or information systems management, or equivalent experience Must be a certified IT professional with an International Information System Security Certification Consortium (ISC)2 Certified Information Systems Security Professional (CISSP) certification A minimum of five (15 or more) years of experience managing similar projects of size, scope and complexity through the planning, execution, and monitoring stages, preferably with NRO experience to adequately understand mission needs across the enterprise Minimum of two (2) consecutive years of supervisory experience in IT management Experience with SCADA Networks Documented experience in IC IT systems including implementing INFOSEC policies and procedures Experience providing high-quality customer service Demonstrated experience in help desk activities, recapitalization, networks, development of systems security plans, and protected communication technologies Currently holds applicable 8570 certifications and Security+ Experience in hardware integration, software integration, cloud services, and formation of telecommunication networks Ability to enhance alignment of development and integration with end-user and mission needs Proficient in shaping and steering architecture, driving the implementation of cutting-edge technology solutions at the forefront of innovation Experience with using and administration of a ticketing, service desk, or tracking tool (such as ServiceNow, Jira Service Desk, etc) Ability to maximize technical, performance, and operational efficiencies and minimize lifecycle costs Ability to maximize services and capabilities, provisioned as a service Ability to enhance and enable interoperability across the enterprise Ability to work in fast paced environment with excellent oral and written communication skills Strong understanding of data governance principles, policies, and best practices Belong, Connect and Grow at KBR At KBR, we are passionate about our people and our Zero Harm culture",4
Analyst - Infrastructure,"Participate in area cluster and/or regional consolidation activities and other agreed technical projects What we are looking for: The ideal candidate should have 3-5 years of hands-on experience in a warehouse environment, preferably within large organizations with a global presence Experience in interacting with virtual teams and providing remote support is essential to ensure seamless operations across multiple locations The candidate must have experience supporting warehouse’s critical business users by addressing various cataloged IT requirements with a customer-centric approach",1
Threat Analyst 2,"What You Will Do Conduct threat hunting to identify potential threats throughout the MDR customer base Handle escalations from Tier I Threat Analysts - guide / advise on investigation handling Onboard and mentor new Threat Analysts Provide detection and response to security events and cyber-threats Conduct security log management and monitoring Maintain information security metrics Create cases, track and follow up with clients through threat neutralization Interact with clients via various mediums Participate in Security Operations process improvement and creation Collaborate and assist core security and threat response teams Obtain metrics for reporting on threat trends, intelligence analysis and situational awareness Actively research recent Indicators or Compromise/Attack, exploits and vulnerabilities What You Will Bring 2+ years of experience working in a SOC environment or computer security team in an IT environment Endpoint and network security experience required; IDS, IPS, EDR, ATP, Malware defenses and monitoring experience Experience with threat hunting Experience administering and supporting Windows and Unix bases Operating Systems, including both workstations and servers Knowledge of common adversary tactics and techniques, e Strong understanding of Windows event log analysis Working knowledge of incident response procedures Excellent troubleshooting and analytical thinking skills Must be able to thrive within a team environment as well as on an individual basis Customer service-oriented with strong documentation and communication skills Passion for all things information technology and information security Natural curiosity and ability to learn new skills quickly Ability to think outside the box Innovative mindset and driven to contribute to a team providing a best-in-class cybersecurity service Bachelor's in Information Technology, Computer Science or a related field; or relevant commensurate work experience Willingness to work weekends Desirable Knowledge of Mitre ATT&CK framework Experience with enterprise information security data management - SIEM experience Experience with SQL query construction Experience with OSQuery Programming and scripting skills - proficient knowledge of Powershell Advanced Cyber Security certifications #LI-FC1 #B1 #LI-Remote Ready to Join Us? At Sophos, we believe in the power of diverse perspectives to fuel innovation",1
Security Operations Lead,"About the role As the lead security engineer, the Security Operations Lead will be responsible for security operations, investigating and resolving security threats and incidents, maintaining and configuring security solutions, performing risk assessments, resolving technical faults and engaging in delivery of cyber security uplifts and projects What you’ll do Implement cyber security controls as part of projects and initiatives Implement, configure, and monitor security tools such as SIEM or EDR solutions Vulnerability management and threat intelligence Conduct security and risk assessments in collaboration with internal and external stakeholders Provide security/architecture expertise, direction, and assistance to other areas of the business Assist the security architect in designing reliable, powerful and flexible security architectures for IT projects Help maintain security policies and procedures Monitor, log, respond and investigate security incidents and events and provide input into post event analysis Training and promotion of security awareness, including newsletters and advisories Creation of security reports for management Develop and update security documentation including architecture designs and test plans Assign tasks with the security engineering team About you 5+ years of cyber security operations experience Tertiary qualification in Cyber Security, IT or Engineering, (electronics/computer/communication/networking) highly regarded Industry relevant certifications such as CISSP, CISM, CEH, GSEC or CompTIA Security+ highly regarded Extensive experience in technical aspects of information security and architecture, and preferably IT risk management Demonstrable understanding of information security controls and technology Experience of working with an ISO27001 ISMS or NIST Significant experience in using and implementing cloud platforms (Azure in particular) Strong knowledge of Windows operating environment and service architecture Culture & Benefits Standards Australia is proud to have been awarded the prestigious Employer of Choice Award for two consecutive years, 2023 and 2024 Our award-winning People Perks program includes the following great benefits: Nine-day fortnight – enjoy every second Friday off Growing Family & Parental leave benefits – 16 weeks paid leave for primary carers, plus Superannuation contributions made on unpaid leave; 4 weeks paid leave for secondary carers Workiversary rewards – your commitment and loyalty won’t go unrecognised! Global working – do you have working rights in another country? Enjoy a few weeks of international working every year Early access to long service leave – why wait 10 years for long service leave? 5 years sounds a lot better! What's next? If Standards Australia sounds like the place for you, please submit your CV outlining your experience and suitability to this role",3
ADMS Tester,"ROLE: ADMS Test Analyst LOCATION: Melbourne Experience: 5+ years Key responsibilities: Collaborate within team (including business SMEs) in various phases of the project Contribute to requirement traceability matrix to test cases Required Skills: 2+ years of experience as test analyst in GEV ADMS Experience in OS – RHEL (Linux) and Windows Server Experience with documentation collaboration tools (e Experience in DPF, FLISR(APRS) and GEV Mobile ADMS is a plus Experience with Jira for tasks management Experience in GEV ADMS upgrade project(s) Experience in NMS and OMS areas of ADMS Experience in tools like simSCADA",5
AWS Cyber Cloud Specialist Consultant,"Technical Consultation and Design: Provide expert technical consultation on AWS security architecture and design Client Engagement and Advisory: Serve as the technical security SME in client engagements related to AWS cloud security Present security findings, recommendations, and solutions to technical and non-technical stakeholders Balancing technical security requirements with business objectives in rapidly evolving cloud environments, requiring creative and pragmatic security solutions that protect client assets without impeding business agility",0
Senior Penetration Tester,"Engage clients through clear and effective communication, presenting technical findings in a manner that bridges the gap between technical and non-technical audiences Drive thought leadership to help stay ahead of emerging threats and contributing to the evolution of industry best practices Provide mentorship and technical guidance to team members, empowering them to excel in their roles About You Proven experience leading and managing penetration testing, with a focus on advanced security areas and business risk management Excellent communication skills, with the ability to explain technical findings to both technical and non-technical audiences Experience in red teaming, exploit development, and cloud security testing With a strong focus on learning and growth, we provide on the job training and formal development programs to help you succeed in your role and develop your skills and experience",5
Identity and Access Management Specialist,"You will be required provide in-depth technical consultation to directorates, project teams and the wider Technology function, to assist in developing plans and direction for the integration of information security requirements Key Accountabilities include: Provide subject matter expertise on all IAM, PAM & RBAC disciplines Own the lifecycle management of all IAM, PAM & RBAC technologies Review and assess solution architecture and design to identify security risks and opportunities Lead the IAM, PAM & RBAC projects and design activities Single point of contact for IAM & PAM related expertise and architectural / technical concerns Provide technical support of the platforms as required and management of 3rd parties Ensure reporting and compliance with SOC and develop an identity management runbook Key Technologies Salesforce Identity management & MFA Entra ID and Active Directory GathID ILM Palo Alto Delinea Sentinal About you: You will have a wealth of professional experience within security engineering, architecture, technical implementations and a strong background in certification, accreditation, and the implementation of robust security frameworks within complex ICT environments With a solid foundation in systems and enterprise architecture, systems engineering, and ICT/software integration, you’ll have hands-on experience in ensuring secure interface protocols and scalable infrastructure Your application must include a cover letter, current resume and maximum 2 page document addressing the ‘Experience’ section of the Role Description Applicants must be an Australian Citizen, Permanent Resident or hold a valid work permit or visa We strongly encourage people of all abilities to apply, particularly people of Aboriginal and Torres Strait Islander heritage, and those who may experience diversity or disability related barriers in securing employment",0
IT Infrastructure Engineer,"Required Skills & Experience 3 – 5+ years in an IT infrastructure role, ideally across SMB or enterprise environments Strong experience with Microsoft 365 administration and deployment Strong experience in both Android and Apple device management Ability to manage multiple priorities and work across varying technical levels Desirable Qualifications and Skills (Not Essential) Microsoft certifications Networking certifications Security certifications Understanding of CCTV and access control systems; experience managing these in a business setting will be viewed favourably Atlassian Certification (Jira service management) Candidates will be required to hold and provide a clean police record check, NDIS workers clearance and Working with Children Check",3
Senior Cyber Vulnerability Analyst,"com/ We are interested in hearing from people who have: 5+ years experience in a cyber role ideally in vulnerability/threat management Practical understanding of various security tools including Rapid 7 Experience in understanding risk and risk appetite with security and vulnerability Good communication skills and experience establishing strong relationships and collaborating with internal stakeholders Cyber Security qualifications such as Comptia Sec+, CYSA+, CISSP and working with SIEM, Endpoint D&R, Managed Services, DLP etc will be highly regarded Previous experience working in a global environment and across multiple time zones We value diverse perspectives at Ashurst, so even if you don't feel you meet all of the requirements, we still encourage you to apply",1
IT Security Architect,"Skills and Experience 8+ years in information security, with at least 3 years in a solution or security architecture role Hands-on experience with security controls in Azure, AWS, or GCP environments Strong communication and stakeholder engagement skills, with the ability to explain complex security concepts to non-technical audiences Experience in contributing to security policies, guiding security decisions in RFPs, and supporting incident response planning We know that some people hesitate to apply for jobs unless they meet every single qualification At Toll, we value a diverse, inclusive and authentic workplace, so if you’re interested in this role but your past experience doesn’t align perfectly then please talk to us – you may be just the right candidate for this or other roles we have coming up",2
Forensics Specialist,"The Requirements: 2+ years of experience working in Digital Forensics and Incident Response/SOC Teams Demonstrate knowledge of Windows and Linux forensic techniques, tools, and concepts Strong knowledge of network architecture fundamentals (Proxies, NAT, firewalls, IDPS, DMZ, etc ) Strong technical foundation of standard Information Technology concepts and services Experience working with multiple enterprise security solutions (e ) Demonstrate proven experience in Threat Intelligence (TI) with a focus on analyzing and understanding the tactics, techniques, and procedures of known Threat Actors and Advanced Persistent Threats (APTs) Proven success contributing to a team-oriented environment Excellent communication and interpersonal skills Strong critical thinking, deductive reasoning, problem-solving, and prioritization skills Experience working with common cloud technology providers (e Conduct threat hunting using the Varonis platform and other SOC-related tools and platforms Contribute to, and improve existing team processes while identifying new opportunities for customer impact Contribute to the creation and enrichment of knowledge bases through detailed technical investigations and the discovery of new findings",0
Modern Workplace Engineer,"Join us and experience Bunnings from the other side of the counter! What’s in it for you when you’re part of our team: Team discount at Bunnings and other Wesfarmers brands including Kmart, Target and Officeworks to name a few Free standard OnePass membership Access to over 100+ exclusive team member benefits across health, shopping, travel and stay, wealth, work and leave 12 weeks paid parental leave, regardless of gender Fun stuff like annual festive gifts, discounted food and drinks at our Bunnings Cafe, and travelling store team member opportunities We’re genuinely invested in your career and no matter where you start with us, that pathway is yours to build About the role: Joining our Modern Workplace team, your role will support and maintain a first-class Windows and MAC OS environment, endpoint infrastructure, collaboration technologies (including Surface Hubs and Microsoft Teams Rooms), software applications and endpoint cloud services to ensure our team have a positive experience with minimal disruption Working in a busy and dynamic environment you will be supported to innovate, propose and implement modern solutions that improve the user experience Ideally you will have experience or understanding of managing end points on a large scale You’ll need: Demonstrated experience (minimum 4 years) working in a similar role with exposure to modern workplace concepts and technologies Technical knowledge and experience in managing and supporting Microsoft collaboration technologies including MS Teams and Teams Meeting Room Technologies Strong experience with Microsoft 365 administration including O365 Suite, MS Teams, Power Platform, Azure AD and Licensing Technical knowledge of Microsoft Endpoint Configuration Manager including Configuration Manager and InTune Strong technical skills in PC hardware and software support including Windows and MAC OS operating systems If you have the experience, skills and a passion to grow but don't necessarily nail every single point in the job description, please still apply This can include police, employment and qualification checks",3
"Expression of Interest_ Governance, Risk and Compliance (GRC)","Experience conducting compliance assessments and security audits Security Documentation & Policy Development Experience in authoring security policies, process improvement plans, and security documentation Technical Knowledge & Compliance Reporting Strong understanding of security authorization processes for systems Experience in automating cyber reporting across multiple sources Research suggests that underrepresented groups tend to only apply if they meet every requirement",4
Systems Engineer - Cyber,"What will I be doing day to day? Design and develop engineered systems- software, hardware and cyber infrastructure Develop engineering governance, design assurance and requirements documentation of ICT systems upgrades and emerging projects Provide input/review to the technical design and solution of ICT systems Install new software, hardware and equipment necessary to optimize output and provide ongoing maintenance and technical support Design tests to verify system performance Manage ICT Engineering Changes through the CCB What sort of skills do I need? Tertiary qualifications in Computer Science, IT, Telecommunications, Engineering or related discipline Qualifications in Cyber Security and Project Management highly desirable Essential specialist experience in Linux & Windows Cisco DevOps & Programming VMWare Experience relevant to Defence and Mission ICT systems and networks Understanding of engineering methods, design and development Australian citizenship & an NV2 clearance as a minimum What’s in it for me? Flexibility - We like our employees to have the flexibility they need to live the lives they choose With more than 880 engineers, project and program managers, training specialists, cyber security consultants, facilities operations experts, essential workers, logistics and technical trades in Canberra, Sydney, Melbourne, south-east Queensland, Central Australia, Townsville, Adelaide, Perth, Newcastle and Nowra, the business has built a reputation for excellence in quality, performance, innovation, value for money and safety by delivering multi-disciplinary expertise on large and technically challenging projects for more than 27 years People are our greatest asset and we value unique backgrounds, experience and perspectives Apply today to become a member and experience the many benefits and rewards that help us advance the future together",3
Platform Architect - Security,"Sydney CBD IT architecture experience, ideally within the Insurance, Financial Services, or Government Experience with developing Cyber / IT reference architectures & strategic roadmaps Proactively and regularly engage users of the in-scope platform/domain technologies to understand and uplift the user experience Provide architectural assurance and technical guidance to ensure security controls implemented under the Cyber Uplift Program are aligned with strategic objectives and reference architectures Skills & Experience Extensive IT architecture experience, ideally within the Insurance, Financial Services, and/or Government sector A broad range of experience with developing Cyber / IT reference architectures and strategic roadmaps Experience developing strategic roadmaps and technology reference architectures Demonstrated experience in developing and communicating technical standards, policies, and guidelines Broad experience in a wide range of information system technologies and technical architectures",2
Zero Trust and Operation Technology Engineer,"Your knowledge and experience will be instrumental in shaping secure collaborations and partnerships Your Future at Kyndryl As a Security Consultant at Kyndryl you will join the Kyndryl Consultant Profession, working with other Kyndryl Consultants, Architects, Project Managers, and cross-functional Technical Subject Matter Experts – presenting unlimited opportunities with unmatched support through our investment in your learning, training, and career growth Who You Are You’re good at what you do and possess the required experience to prove it Experience with OT-specific cybersecurity tools and technologies (e Required Experience: 8+ years in cybersecurity, with at least 5 years focused on Zero Trust architecture and OT security Proven experience in applying Zero Trust principles to OT systems and securing critical infrastructure in Australia Strong experience in OT environments within sectors like energy, manufacturing , and transport",3
Senior Cyber Defence Engineer - Flexible,"Work options: Flexible Play a key role in shaping our cyber security landscape at Corporate Office and accelerate your personal growth Have access to leading technologies and ongoing learning and development opportunities Be part of a broader cyber security community across the Wesfarmers Group] Full-time permanent role, ideally based in Perth (we would consider Melbourne) What you’ll do Reporting to our Cyber Security and Platform Manager, this role will: Establish strong and effective relationships with key stakeholders Design, develop and maintain cyber defence architecture for Corporate Office Design, implement, and continuously improve defensive technologies to detect and respond to cyber security threats Lead incident response events as required Conduct simulation exercises to effectively test our threat preparedness and response capabilities Automate repetitive tasks and workflows using our automation tools Collaborate with our businesses to share knowledge and enhance our cyber security posture Stay up to date with emerging trends and best practice as it relates to cyber defence What you’ll need Significant experience working in a similar role, preferably within a SOC Strong understanding of network protocols, operating systems, cloud environment (i",3
